Level;Type;Guid;GroupType;Abbreviations;AbbreviationPrefix;ExpandAt;ExpandAtDelimiters;ExpandAfter;ExpandAfterDelimiters;CaseSensitivity;ApplicationAvailabilityMode;ApplicationAvailabilityApplications;ShowInMenuBar;ShowInMenuBarAtFirstLevel;SuggestAbbreviations;Parameters;ContentType;Text;Html;Label;Tag;Note;ScriptType;ScriptingHost;ScriptWorkingDirectory;FileContent;IsRelative;DateCreated;LastTimeUsed
2;0;855c49c9-47d3-494e-a605-9994fd743306;0;\leqslant;;0;;0;;0;0;;False;False;False;;0;⩽;;;;;;;;;;0;0
2;0;6431f7c0-2bdb-4e34-8b5a-0bce1e5d1f62;0;\geqslant;;0;;0;;0;0;;False;False;False;;0;⩾;;;;;;;;;;0;0
2;0;c43668a9-e2a1-4dfe-9111-af94f889bde7;0;\leq;;0;;0;;0;0;;False;False;False;;0;≤;;;;;;;;;;0;1608707870
2;0;f62703e0-0042-477a-8fbf-3e1bea379cb0;0;\le;;0;;0;;0;0;;False;False;False;;0;≤;;;;;;;;;;0;1609833974
2;0;f6f29d00-1f0f-48bb-a75a-6366de2ae0e8;0;\ge;;0;;0;;0;0;;False;False;False;;0;≥;;;;;;;;;;0;1608809252
2;0;fe9ddecc-519b-49f1-8617-d64119bc07ba;0;\geq;;0;;0;;0;0;;False;False;False;;0;≥;;;;;;;;;;0;0
2;0;b11fb36d-437a-4256-88b3-3cc53eacf75f;0;\S;;0;;0;;0;0;;False;False;False;;0;§;;;;;;;;;;0;1608704250
2;0;fc19e2ef-78d2-40d5-9f1e-50c1b0153481;0;\pm;;0;;0;;0;0;;False;False;False;;0;±;;;;;;;;;;0;0
2;0;a7fbcb0e-31cd-4b0b-8087-ac2ee3a53126;0;\mp;;0;;0;;0;0;;False;False;False;;0;∓;;;;;;;;;;0;0
1;1;9e017319-0496-4c42-bdc3-bc9deac3e758;0;;;0;;2;;0;0;;True;False;True;;0;;;Frames;;;;;;;;1609834776;0
2;0;ce36f13a-0495-4f55-af76-a35e468ea355;0;"_UD_
_DU_";;0;;0;;0;0;;False;False;False;;0;┃;;;;;;;;;;0;1608915679
2;0;15d86ef5-ef0a-4d72-8334-37f104d58a3f;0;"_LR_
_RL_";;0;;0;;0;0;;False;False;False;;0;━;;;;;;;;;;0;1608917577
2;0;47494f72-3977-4eeb-8d40-2e965ea3d7b8;0;"_LUD_
_LDU_
_ULD_
_UDL_
_DLU_
_DUL_";;0;;0;;0;0;;False;False;False;;0;┫;;;;;;;;;;0;0
2;0;1bf48bcd-3070-4ddd-926d-872d2341f486;0;"_UDR_
_URD_
_DUR_
_DRU_
_RUD_
_RDU_";;0;;0;;0;0;;False;False;False;;0;┣;;;;;;;;;;0;0
2;0;a5760c1a-5d69-4373-a253-c7e28896543d;0;"_LUR_
_LRU_
_ULR_
_URL_
_RLU_
_RUL_";;0;;0;;0;0;;False;False;False;;0;┻;;;;;;;;;;0;0
2;0;54d26927-bf90-4909-b9f1-cfc5dfb79389;0;"_LDR_
_LRD_
_DLR_
_DRL_
_RDL_
_RLD_";;0;;0;;0;0;;False;False;False;;0;┳;;;;;;;;;;0;0
2;0;b2517e7b-7df8-4f6d-b92c-69ef9b9f43ac;0;"_LD_
_DL_";;0;;0;;0;0;;False;False;False;;0;┓;;;;;;;;;;0;0
2;0;5f6cbb2b-40b7-4e02-8854-6d63cfb5420a;0;"_DR_
_RD_";;0;;0;;0;0;;False;False;False;;0;┏;;;;;;;;;;0;0
2;0;34f07d68-3fa8-46fb-8a9a-b45f4461c6a6;0;"_LU_
_UL_";;0;;0;;0;0;;False;False;False;;0;┛;;;;;;;;;;0;1608915502
2;0;cde74f03-58c8-422a-9b9b-db98c0efbbdb;0;"_UR_
_RU_";;0;;0;;0;0;;False;False;False;;0;┗;;;;;;;;;;0;1608914830
2;0;a4532fd7-972e-4f51-a9e6-fa66cd746752;0;"_lrud_
_lrdu_
_rlud_
_rldu_
_udlr_
_udrl_
_dulr_
_durl_";;0;;0;;0;0;;False;False;False;;0;┼;;;;;;;;;;0;1608914333
2;0;ce36f13a-0495-4f55-af76-a35e468ea355;0;"_ud_
_du_";;0;;0;;0;0;;False;False;False;;0;│;;;;;;;;;;0;1608979756
2;0;05e35323-4bdb-4257-b2e4-9a9d4a0c67f4;0;"_lr_
_rl_";;0;;0;;0;0;;False;False;False;;0;─;;;;;;;;;;0;1608979893
